question,act,retrieved_act,section,similarity,answer_text,doc_id
What goods and services are subject to VAT?,Value Added Tax Act,Value Added Tax Act,2 – Interpretation,0.647384048,"by way of payment using a debit or credit card or electronic payment system; ""non-resident person"" deleted by Act No. 38 of 2016, s. 26(c); ""official aid funded project"" means a project funded by means of a grant or concessional loan in accordance with an agreement between the Government and any foreign government, agency, institution, foundation, organization or any other aid agency; ""output tax"" means tax which is due on taxable supplies; ""person"" means an individual, company, partnership, association of persons, trust, estate, the Government, a foreign government, or a political subdivision of the Government or foreign government; ""registered person"" means any person registered under section 34, but does not include an export processing zone enterprise or a special economic zone; ""regulations"" means any subsidiary legislation made under this Act; ""services"" means anything that is not ...",0e31651c8c91952641f817584bbd41dea683c435e69931b3148a2d1cde2ae4b9
When is a person required to register for VAT?,Value Added Tax Act,Value Added Tax Act,34 – Application for registration,0.669397086,"(1) A person who in the course of a business— (a) has made taxable supplies or expects to make taxable supplies, the value of which is five million shillings or more in any period of twelve months; or (b) is about to commence making taxable supplies the value of which is reasonably expected to exceed five million shillings in any period of twelve months, shall be liable for registration under this Act and shall, within thirty days of becoming so liable, apply to the Commissioner for registration in the prescribed form: Provided that a person supplying imported digital services over the internet, an electronic network or through a digital marketplace shall register whether or not the taxable supplies meet the turnover threshold of five million shillings. (2) In determining whether a person exceeds the registration threshold for a period, the value of the following taxable supplies shall b...",591706c1ea055dceb9c7ea9de48b46625ae2894a1b06d1164f32aa2efc91cb84
How is VAT input and output tax computed?,Value Added Tax Act,Value Added Tax Act,17 – Credit for input tax against output tax,0.67692861,"any input tax which is directly attributable to other use; and (c) deduction of input tax attributable to both taxable supplies and other uses calculated according to the following formula: A x BC where— A is the total amount of input tax payable by the person during the tax period on acquisitions that relate partly to making taxable supplies and partly for another use; B is the value of all taxable supplies made by the registered person during the period; and C is the value of all supplies made by the registered person during the period in Kenya. (7) Deleted by Act No. 12 of 2024, s. 19(b). (8) Deleted by Act No. 12 of 2024, s. 19(c). (9) Where a bona fide owner of taxable supplies, who has deducted input tax under subsection (1), is compensated for the loss of the taxable supplies, the compensation shall be treated as a taxable supply and— (a) if the compensation includes value added t...",d0fc4d223a84cdbb3a612c68b52f485b84de4069d838ebaa34c2a760df31ac7f
What are zero-rated supplies?,Value Added Tax Act,Value Added Tax Act,36 – Packaging materials for tea and coffee upon recommendation by the Cabinet Secretary for matters relating to agriculture.,0.712394506,"(Act No. 9 of 2025, s. 39) Part B – ZERO RATED SUPPLIES TO PUBLIC BODIES, PRIVILEGED PERSONS AND INSTITUTIONS The following taxable supplies shall be zero-rated when supplied by a registered person before the imposition of tax or imported before clearance through the customs by or on behalf of the following persons subject to the limitations specified in this Schedule—",6aba173191bbd3d5d3790dfd85e2ea0488fa33cd3317468e25885946763ea26c
What are the penalties for failure to remit VAT?,Value Added Tax Act,Value Added Tax Act,37 – Offences relating to registration,0.614393294,"A person who— (a) fails to apply for registration as required under this Act; (b) applies for cancellation of registration when still required to be registered; (c) fails to apply for cancellation of registration as required under this Act; or (d) fails to comply with section 35 or 36(7)(a), commits an offence and shall be liable on conviction to a fine not exceeding two hundred thousand shillings or to imprisonment for a term not exceeding two years, or to both.",0d6ab902dc16d0646d4e5af93aafe8c205ba23867444939f3da84c70fde846f2
Who is entitled to compensation under the Work Injury Benefits Act?,Work Injury Benefits Act,Work Injury Benefits Act,10 – Right to compensation,0.721776813,"(1) An employee who is involved in an accident resulting in the employee’s disablement or death is subject to the provisions of this Act, and entitled to the benefits provided for under this Act. (2) An employer is liable to pay compensation in accordance with the provisions of this Act to an employee injured while at work. (3) An employee is not entitled to compensation if an accident, not resulting in serious disablement or death, is caused by the deliberate and wilful misconduct of the employee. (4) For the purposes of this Act, an occupational accident or disease resulting in serious disablement or death of an employee is deemed to have arisen out of and in the course of employment if the accident was due to an act done by the employee for the purpose of, in the interests of or in connection with, the business of the employer despite the fact that the employee was, at the time of the...",73b6613df1e02d6d8992957d99c3c611aee3a181729bdb4e2f948f52fb058a4c
What constitutes an occupational accident?,Work Injury Benefits Act,Work Injury Benefits Act,12 – Accidents during training for or performance of emergency Services,0.734464526,"If an employee is injured in an occupational accident or contracts an occupational disease while the employee, with the consent of the employer, is engaged in any organized first aid, ambulance or rescue work, fire-fighting or other emergency service, the accident or disease is for the purposes of this Act, deemed to have arisen out of and in the course of the employee’s employment.",488e149ec28ba18a097d0d55aab9410f3949867528bccaa16abe1381f7929e38
How is compensation calculated for permanent disability?,Work Injury Benefits Act,Work Injury Benefits Act,30 – Compensation for permanent disablement,0.769991174,"(1) Compensation for permanent disablement shall be calculated on the basis of ninety six months earnings subject to the minimum and maximum amounts determined by the Cabinet Secretary, after consultation with the Board, and set out in the Third Schedule. (2) If an employee has sustained an injury specified in the first column of the First Schedule, the employee shall for the purposes of this Act, be deemed to be permanently disabled to the degree set out in the second column of the First Schedule. (3) If an employee sustains an injury not specified in the First Schedule which leads to permanent disablement, the employee shall be paid such percentage of disablement in respect thereof as in the opinion of a medical doctor will not lead to a result contrary to the guidelines of the First Schedule. (4) If an injury or serious disablement contemplated in paragraph (a) or (b) has unusually se...",1eaba409f90afe37bbc9e183668d0d28b7b19e744e67ac75bc673cab8d5bcb69
What are the employer’s obligations in case of injury?,Work Injury Benefits Act,Work Injury Benefits Act,46 – Conveyance of injured worker,0.759848848,"(1) If an employee is injured in an accident, which necessitates the employee’s conveyance to a hospital medical facility or from a hospital or medical facility to the employee’s residence, the employer shall make the necessary conveyance available. (2) An employer or anyone in charge of the work in which the employee was employed at the time of the accident, who fails to comply with subsection (1) commits an offence.",f8d8fd77c4fcee96166465e64223e309ba2a30124045d15aeab542ebb07e68a3
What is the process for reporting workplace injuries?,Work Injury Benefits Act,Work Injury Benefits Act,24 – Particulars in support of claim,0.718327135,"(1) An employee who is injured in an accident or his dependant, shall, when reporting the accident or thereafter at the request of the employer or Director, furnish such information and documents as may be prescribed or as the employer or Director may request. (2) An employer shall, within seven days after having received a claim, medical report or other document or information concerning such claim, submit the claim, report, document or information to the Director.",16f939a7e2fbf64b3b404c85113306abdd4af97c7227cf9dea873051a2dc4c9e
